LJ001-0001|The boy was there when the sun rose.|THE BOY WAS THERE WHEN THE SUN ROSE
LJ001-0002|The beauty of the views turned the young boy.|THE BEAUTY OF THE VIEWS TURNED THE YOUNG BOY
LJ001-0003|The purse was full of useless trash.|THE PURSE WAS FULL OF USELESS TRASH
LJ001-0004|It's note reigned and held the same warning.|IT'S NOTE REIGNED AND HELD THE SAME WARNING
LJ001-0005|The fish twisted and turned on the bent hook.|THE FISH TWISTED AND TURNED ON THE BENT HOOK
LJ001-0006|These days a chicken leg is a weird dish.|THESE DAYS A CHICKEN LEG IS A WEIRD DISH
LJ001-0007|The box was thrown beside the part truck.|THE BOX WAS THROWN BESIDE THE PART TRUCK
LJ001-0008|4 hours of steady work faced us|4 HOURS OF STEADY WORK FACED US
LJ001-0009|The juice of lemons makes fine punch.|THE JUICE OF LEMONS MAKES FINE PUNCH
LJ001-0010|Rice is often served in round bowls.|RICE IS OFTEN SERVED IN ROUND BOWLS
LJ001-0011|At the meeting yesterday he acted foolishly.|AT THE MEETING YESTERDAY HE ACTED FOOLISHLY
LJ001-0012|Yesterday, he gave a brilliant speech at the conference.|YESTERDAY HE GAVE A BRILLIANT SPEECH AT THE CONFERENCE
LJ001-0013|The Navy attacked the big task force.|THE NAVY ATTACKED THE BIG TASK FORCE
LJ001-0014|Cedar cat glaring at the scared mouse.|CEDAR CAT GLARING AT THE SCARED MOUSE
LJ001-0015|There are more than two factors here.|THERE ARE MORE THAN TWO FACTORS HERE
LJ001-0016|The head-brain was wide and too droppy.|THE HEADBRAIN WAS WIDE AND TOO DROPPY
LJ001-0017|The lawyer tried to lose his case.|THE LAWYER TRIED TO LOSE HIS CASE
LJ001-0018|The grass curled around the fence post.|THE GRASS CURLED AROUND THE FENCE POST
LJ001-0019|Cut the pie into large parts.|CUT THE PIE INTO LARGE PARTS
LJ001-0020|Men strive but seldom get rich.|MEN STRIVE BUT SELDOM GET RICH
LJ001-0021|Always close the bar door tight.|ALWAYS CLOSE THE BAR DOOR TIGHT
LJ001-0022|He lay prone and hardly moved a limb.|HE LAY PRONE AND HARDLY MOVED A LIMB
LJ001-0023|Oak is strong and also gives shade.|OAK IS STRONG AND ALSO GIVES SHADE
LJ001-0024|Cats and dogs each hate the other.|CATS AND DOGS EACH HATE THE OTHER
LJ001-0025|The pipe began to rust while new.|THE PIPE BEGAN TO RUST WHILE NEW
LJ001-0026|Open the crate but don't break the glass.|OPEN THE CRATE BUT DON'T BREAK THE GLASS
LJ001-0027|Add the sound to the product of these three.|ADD THE SOUND TO THE PRODUCT OF THESE THREE
LJ001-0028|Deeps who rub friends deserve jail.|DEEPS WHO RUB FRIENDS DESERVE JAIL
LJ001-0029|The ripe taste of cheese improves with age.|THE RIPE TASTE OF CHEESE IMPROVES WITH AGE
LJ001-0030|Act on these orders with great speed.|ACT ON THESE ORDERS WITH GREAT SPEED
LJ001-0031|The hog crawled under the high fence.|THE HOG CRAWLED UNDER THE HIGH FENCE
LJ001-0032|Move that over the hot fire.|MOVE THAT OVER THE HOT FIRE
LJ001-0033|The bark of the pine tree was shiny and dark.|THE BARK OF THE PINE TREE WAS SHINY AND DARK
LJ001-0034|Leaves turn brown and yellow in the fall.|LEAVES TURN BROWN AND YELLOW IN THE FALL
LJ001-0035|The penchant waved when the wind blew.|THE PENCHANT WAVED WHEN THE WIND BLEW
LJ001-0036|Split the log with a quick sharp blow.|SPLIT THE LOG WITH A QUICK SHARP BLOW
LJ001-0037|Burn Pete after the logs give out.|BURN PETE AFTER THE LOGS GIVE OUT
LJ001-0038|He ordered Peach Pie with ice cream.|HE ORDERED PEACH PIE WITH ICE CREAM
LJ001-0039|Weaved a carpet on the right hand side.|WEAVED A CARPET ON THE RIGHT HAND SIDE
LJ001-0040|Hemp is a weed found in parts of the tropics.|HEMP IS A WEED FOUND IN PARTS OF THE TROPICS
LJ001-0041|Alim back, kept his core low.|ALIM BACK KEPT HIS CORE LOW
LJ001-0042|We find joy in the simple thing.|WE FIND JOY IN THE SIMPLE THING
LJ001-0043|The harder he tried, the less he got done.|THE HARDER HE TRIED THE LESS HE GOT DONE
LJ001-0044|The boss ran the show with the watchful eye.|THE BOSS RAN THE SHOW WITH THE WATCHFUL EYE
LJ001-0045|The cup cracked and spilled its contents.|THE CUP CRACKED AND SPILLED ITS CONTENTS
LJ001-0046|Baste can cleanse the most dirty bras.|BASTE CAN CLEANSE THE MOST DIRTY BRAS
LJ001-0047|The slang word for raw whiskey is Boots.|THE SLANG WORD FOR RAW WHISKEY IS BOOTS
LJ001-0048|It caught its hind paw in rusty trap.|IT CAUGHT ITS HIND PAW IN RUSTY TRAP
LJ001-0049|Feel the heat of the weak dying flame.|FEEL THE HEAT OF THE WEAK DYING FLAME
LJ001-0050|The wolf could be seen at the thawter shore.|THE WOLF COULD BE SEEN AT THE THAWTER SHORE
